iter	Passed	Remaining
0	5	1095
1	8	801
2	10	692
3	12	624
4	15	594
5	17	569
6	20	554
7	23	553
8	25	543
9	28	535
10	30	527
11	33	519
12	35	516
13	38	511
14	41	512
15	44	508
16	47	506
17	49	503
18	52	499
19	55	497
20	57	491
21	60	487
22	62	482
23	65	478
24	68	476
25	70	473
26	73	468
27	75	464
28	78	461
29	80	458
30	83	457
31	86	454
32	89	453
33	92	451
34	95	448
35	97	445
36	100	441
37	102	437
38	105	433
39	107	429
40	109	426
41	112	423
42	114	419
43	117	416
44	120	413
45	122	410
46	125	407
47	127	403
48	130	401
49	133	400
50	136	397
51	138	394
52	141	391
53	143	388
54	146	385
55	148	382
56	151	379
57	153	376
58	156	373
59	158	370
60	161	367
61	163	364
62	166	362
63	169	359
64	172	357
65	174	355
66	177	352
67	179	348
68	182	345
69	184	343
70	187	340
71	190	338
72	193	336
73	195	333
74	198	331
75	201	328
76	204	326
77	206	323
78	209	321
79	212	318
80	214	315
81	217	312
82	219	310
83	222	307
84	226	306
85	229	303
86	232	301
87	235	299
88	237	296
89	240	293
90	242	290
91	245	288
92	248	286
93	251	283
94	253	280
95	256	277
96	258	274
97	261	272
98	264	269
99	266	266
100	269	264
101	272	261
102	275	259
103	278	256
104	280	254
105	283	251
106	286	248
107	288	246
108	291	243
109	293	240
110	296	237
111	299	235
112	302	232
113	304	230
114	307	227
115	310	224
116	313	222
117	315	219
118	318	216
119	321	214
120	323	211
121	326	208
122	328	205
123	331	203
124	334	200
125	336	197
126	339	195
127	342	192
128	344	189
129	347	187
130	349	184
131	352	181
132	355	178
133	357	176
134	360	173
135	363	170
136	365	168
137	368	165
138	370	162
139	373	159
140	376	157
141	379	154
142	382	152
143	385	149
144	387	147
145	390	144
146	392	141
147	395	139
148	398	136
149	401	133
150	404	131
151	407	128
152	409	125
153	412	123
154	415	120
155	417	117
156	420	115
157	423	112
158	425	109
159	428	107
160	430	104
161	433	101
162	435	98
163	438	96
164	440	93
165	443	90
166	445	88
167	448	85
168	451	82
169	454	80
170	457	77
171	459	74
172	462	72
173	465	69
174	467	66
175	470	64
176	472	61
177	475	58
178	478	56
179	481	53
180	484	50
181	486	48
182	489	45
183	492	42
184	495	40
185	498	37
186	502	34
187	504	32
188	507	29
189	509	26
190	512	24
191	515	21
192	517	18
193	520	16
194	523	13
195	526	10
196	530	8
197	533	5
198	536	2
199	539	0
