feature,importance
is_bullish,0.15919602
upper_wick,0.1044813
range,0.051513933
lower_wick,0.049720317
value_area_width,0.043967873
body_size,0.03726592
atr_5m,0.035404608
distance_to_vwap,0.03340842
distance_to_vah,0.028052608
ema_long_dist_1m,0.027072795
ema_cross_1m,0.025500054
tf_alignment_bearish,0.024877638
above_vwap,0.024680879
confluence_short,0.020463329
in_value_area,0.019672433
hour,0.019418478
ema_cross_5m,0.01901016
rsi_15m,0.01716418
ema_short_dist_1m,0.017099023
ema_cross_15m,0.016887123
has_bullish_sweep,0.016527256
distance_to_poc,0.015659789
atr_1m,0.015124579
distance_to_val,0.0144620165
confluence_long,0.014111757
tf_alignment_bullish,0.013564838
num_bullish_sweeps,0.013395549
minutes_from_open,0.013225887
has_bearish_sweep,0.01198105
num_bearish_sweeps,0.011961108
above_ema50_15m,0.011774466
volume_ratio_5m,0.010712255
day_of_week,0.010497568
rsi_5m,0.010186103
atr_ratio_1m,0.009909431
rsi_1m,0.0090367
minute,0.008735795
has_bullish_ob,0.007198652
bullish_ob_distance,0.0041184328
bearish_sweep_strength,0.0029595634
body_ratio,0.0
volume_ratio_1m,0.0
has_bearish_ob,0.0
bearish_fvg_size,0.0
bullish_fvg_distance,0.0
bullish_fvg_size,0.0
num_bearish_fvgs,0.0
num_bullish_fvgs,0.0
has_bearish_fvg,0.0
has_bullish_fvg,0.0
bearish_ob_age,0.0
bearish_ob_distance,0.0
bearish_ob_strength,0.0
bullish_ob_age,0.0
bullish_ob_strength,0.0
num_bullish_obs,0.0
num_bearish_obs,0.0
bullish_sweep_strength,0.0
bearish_fvg_distance,0.0
