feature,xgboost,lightgbm,catboost,average
range,12.987979,0.8009967960128159,5.764986724744201,6.517987485332905
atr_5m,3.0832417,5.3933784264862945,10.87406189470213,6.450227340771508
upper_wick,7.317934,4.41438234247063,5.975050520943135,5.902455633222883
distance_to_vah,2.6150029,5.571377714489142,7.926158515014626,5.370846366687819
distance_to_vwap,3.369042,5.30437878248487,6.3535105199302295,5.008977074041117
value_area_width,3.3041186,3.257386970452118,8.227898795654074,4.929801466458819
body_size,2.8963556,5.090779636881453,4.075597016385262,4.020910760744667
distance_to_poc,1.8647697,5.962976148095408,4.055383866309362,3.9610432371980338
ema_long_dist_1m,3.0963154,4.360982556069776,4.2245564988958675,3.893951479625592
distance_to_val,1.8305806,5.74937700249199,3.783265648285937,3.7877410809777943
is_bullish,7.4140897,0.177999288002848,2.950270535453919,3.514119834391595
rsi_15m,2.7686932,4.271982912068352,3.3048725984821186,3.4485162397483093
atr_1m,1.8263052,5.001779992880028,3.4994869052406097,3.4425240163687847
rsi_5m,1.4783183,4.966180135279459,3.188080641134159,3.2108597033464705
lower_wick,3.6809814,2.5987896048415804,2.497183483022432,2.9256514951642654
ema_short_dist_1m,1.6465012,3.2217871128515485,2.875394945204554,2.581227747188643
price,2.0005238,3.7201851192595234,1.8292968658456346,2.516668596907815
minutes_from_open,1.3698478,4.1295834816660735,2.0057909620004546,2.5017407393907143
atr_ratio_1m,1.2282612,4.877180491278034,1.3716665017520007,2.4923694084687114
rsi_1m,1.0222623,4.734781060875756,1.4548692563248662,2.4039708840080767
minute,1.1813678,3.4175863296546813,1.957869762953937,2.185607949181612
vwap,1.6688426,1.5129939480242078,2.8351537294436646,2.0056634105200932
confluence_short,3.128941,0.9077963688145247,1.7406248059144103,1.9257874112804947
above_ema50_15m,4.507953,0.1957992168031328,0.7367257388314213,1.8134927075320748
confluence_long,2.3800828,0.6051975792096832,2.3247104542221346,1.7699969597065615
volume_ratio_5m,1.1158694,3.008187967248131,0.8344431570034292,1.6528335090456656
day_of_week,1.5417954,1.1213955144179424,1.2192547825967637,1.2941485566592192
body_ratio,0.0,3.4709861160555358,0.0,1.156995372018512
ema_cross_1m,1.9648095,0.1957992168031328,0.3735454037405485,0.8447180524925267
in_value_area,1.7976942,0.21359914560341758,0.2844513446910596,0.7652482321774233
bullish_sweep_strength,1.8030505,0.0,0.28398658196775606,0.6956790333345483
has_bullish_sweep,1.526448,0.3381986472054112,0.17993011891073196,0.6815255925048196
bullish_ob_distance,1.748545,0.2491990032039872,0.01233819438198983,0.6700274160690033
tf_alignment_bearish,1.4029058,0.088999644001424,0.20116291540615738,0.5643561270692711
tf_alignment_bullish,1.2948889,0.2847988608045568,0.10429019308870265,0.5613259693066847
ema_cross_15m,1.3636353,0.1245995016019936,0.018323086216813732,0.5021859631362577
hour,1.102504,0.0711997152011392,0.31247648386690857,0.49539340467897325
has_bearish_sweep,1.0167646,0.1957992168031328,0.09083630668784273,0.43446672143302706
num_bullish_sweeps,0.8720033,0.053399786400854396,0.0,0.3084677010933756
ema_cross_5m,0.70077723,0.10679957280170879,0.0,0.26919226848288363
bearish_sweep_strength,0.7749652,0.0,0.0,0.25832174221674603
num_bearish_sweeps,0.30502346,0.0355998576005696,0.22089457313001984,0.18717263077028864
has_bearish_ob,0.0,0.10679957280170879,0.0,0.0355998576005696
bearish_ob_strength,0.0,0.0355998576005696,0.010572609477271934,0.015390822359280512
bearish_ob_age,0.0,0.0355998576005696,0.0011209294816979204,0.012240262360755838
num_bearish_obs,0.0,0.0177999288002848,0.0010665440511085516,0.006288824283797783
bullish_ob_age,0.0,0.0,0.016382809122179324,0.005460936374059775
bullish_ob_strength,0.0,0.0,0.0023572630694434537,0.0007857543564811512
bearish_ob_distance,0.0,0.0,9.951641844692057e-05,3.3172139482306856e-05
has_bullish_ob,0.0,0.0,0.0,0.0
volume_ratio_1m,0.0,0.0,0.0,0.0
bearish_fvg_distance,0.0,0.0,0.0,0.0
has_bullish_fvg,0.0,0.0,0.0,0.0
num_bullish_obs,0.0,0.0,0.0,0.0
bearish_fvg_size,0.0,0.0,0.0,0.0
bullish_fvg_distance,0.0,0.0,0.0,0.0
bullish_fvg_size,0.0,0.0,0.0,0.0
num_bearish_fvgs,0.0,0.0,0.0,0.0
num_bullish_fvgs,0.0,0.0,0.0,0.0
has_bearish_fvg,0.0,0.0,0.0,0.0
above_vwap,0.0,0.0,0.0,0.0
