type,name
interaction,ob_fvg_bullish_power
interaction,ob_fvg_bearish_power
interaction,confluence_ob_long
interaction,confluence_ob_short
interaction,time_volatility_regime
interaction,session_volatility
interaction,vwap_volume_strength
interaction,poc_value_strength
interaction,normalized_body
interaction,wick_interaction
interaction,tf_ema_alignment
interaction,tf_rsi_alignment
polynomial,atr_1m_squared
polynomial,atr_1m_sqrt
polynomial,atr_1m_log
polynomial,atr_5m_squared
polynomial,atr_5m_sqrt
polynomial,atr_5m_log
polynomial,range_squared
polynomial,range_sqrt
polynomial,range_log
polynomial,body_size_squared
polynomial,body_size_sqrt
polynomial,body_size_log
polynomial,upper_wick_squared
polynomial,upper_wick_sqrt
polynomial,upper_wick_log
polynomial,lower_wick_squared
polynomial,lower_wick_sqrt
polynomial,lower_wick_log
polynomial,value_area_width_squared
polynomial,value_area_width_sqrt
polynomial,value_area_width_log
polynomial,distance_to_vwap_squared
polynomial,distance_to_vwap_sqrt
polynomial,distance_to_vwap_log
polynomial,bullish_ob_strength_squared
polynomial,bullish_ob_strength_sqrt
polynomial,bullish_ob_strength_log
polynomial,bearish_ob_strength_squared
polynomial,bearish_ob_strength_sqrt
polynomial,bearish_ob_strength_log
rolling,atr_1m_ma5
rolling,atr_1m_std5
rolling,atr_1m_max5
rolling,atr_1m_min5
rolling,atr_1m_ma10
rolling,atr_1m_std10
rolling,atr_1m_max10
rolling,atr_1m_min10
rolling,atr_1m_ma20
rolling,atr_1m_std20
rolling,atr_1m_max20
rolling,atr_1m_min20
rolling,rsi_1m_ma5
rolling,rsi_1m_std5
rolling,rsi_1m_max5
rolling,rsi_1m_min5
rolling,rsi_1m_ma10
rolling,rsi_1m_std10
rolling,rsi_1m_max10
rolling,rsi_1m_min10
rolling,rsi_1m_ma20
rolling,rsi_1m_std20
rolling,rsi_1m_max20
rolling,rsi_1m_min20
rolling,volume_ratio_1m_ma5
rolling,volume_ratio_1m_std5
rolling,volume_ratio_1m_max5
rolling,volume_ratio_1m_min5
rolling,volume_ratio_1m_ma10
rolling,volume_ratio_1m_std10
rolling,volume_ratio_1m_max10
rolling,volume_ratio_1m_min10
rolling,volume_ratio_1m_ma20
rolling,volume_ratio_1m_std20
rolling,volume_ratio_1m_max20
rolling,volume_ratio_1m_min20
rolling,body_size_ma5
rolling,body_size_std5
rolling,body_size_max5
rolling,body_size_min5
rolling,body_size_ma10
rolling,body_size_std10
rolling,body_size_max10
rolling,body_size_min10
rolling,body_size_ma20
rolling,body_size_std20
rolling,body_size_max20
rolling,body_size_min20
rolling,range_ma5
rolling,range_std5
rolling,range_max5
rolling,range_min5
rolling,range_ma10
rolling,range_std10
rolling,range_max10
rolling,range_min10
rolling,range_ma20
rolling,range_std20
rolling,range_max20
rolling,range_min20
rolling,distance_to_vwap_ma5
rolling,distance_to_vwap_std5
rolling,distance_to_vwap_max5
rolling,distance_to_vwap_min5
rolling,distance_to_vwap_ma10
rolling,distance_to_vwap_std10
rolling,distance_to_vwap_max10
rolling,distance_to_vwap_min10
rolling,distance_to_vwap_ma20
rolling,distance_to_vwap_std20
rolling,distance_to_vwap_max20
rolling,distance_to_vwap_min20
rolling,bullish_ob_strength_ma5
rolling,bullish_ob_strength_std5
rolling,bullish_ob_strength_max5
rolling,bullish_ob_strength_min5
rolling,bullish_ob_strength_ma10
rolling,bullish_ob_strength_std10
rolling,bullish_ob_strength_max10
rolling,bullish_ob_strength_min10
rolling,bullish_ob_strength_ma20
rolling,bullish_ob_strength_std20
rolling,bullish_ob_strength_max20
rolling,bullish_ob_strength_min20
rolling,bearish_ob_strength_ma5
rolling,bearish_ob_strength_std5
rolling,bearish_ob_strength_max5
rolling,bearish_ob_strength_min5
rolling,bearish_ob_strength_ma10
rolling,bearish_ob_strength_std10
rolling,bearish_ob_strength_max10
rolling,bearish_ob_strength_min10
rolling,bearish_ob_strength_ma20
rolling,bearish_ob_strength_std20
rolling,bearish_ob_strength_max20
rolling,bearish_ob_strength_min20
roc,atr_1m_roc1
roc,atr_1m_roc3
roc,atr_1m_roc5
roc,rsi_1m_roc1
roc,rsi_1m_roc3
roc,rsi_1m_roc5
roc,distance_to_vwap_roc1
roc,distance_to_vwap_roc3
roc,distance_to_vwap_roc5
roc,volume_ratio_1m_roc1
roc,volume_ratio_1m_roc3
roc,volume_ratio_1m_roc5
regime,volatility_regime
regime,trend_strength
regime,trend_direction
regime,is_asia_session
regime,is_london_session
regime,is_ny_session
regime,volume_regime
pattern,is_doji
pattern,is_hammer
pattern,is_shooting_star
pattern,is_engulfing
pattern,is_large_range
microstructure,spread_proxy
microstructure,price_momentum
microstructure,cumulative_momentum
microstructure,buying_pressure
microstructure,selling_pressure
