config_name,ml_column,threshold,total_trades,winning_trades,losing_trades,win_rate,total_return,final_capital,max_drawdown,avg_win,avg_loss,profit_factor,score
Elite Filtered (≥0.6),ml_prob_elite,0.6,2440,1479,961,0.6061475409836066,4354928070045.3115,4354928070145311.5,78.47201279072355,4137408577926.075,-1835899288977.4766,3.4683613917670653,1306478421053.6943
Elite Filtered (≥0.7),ml_prob_elite,0.7,2221,1379,842,0.6208914903196758,2163756824693.1912,2163756824793191.0,73.74379818904629,2188869921833.3271,-1015076956668.6069,3.531613426201182,649127047448.4762
Elite Filtered (≥0.8),ml_prob_elite,0.8,1980,1244,736,0.6282828282828283,271545368547.6799,271545368647679.9,67.78744836863349,303776620830.73615,-144501015986.0813,3.553252024534094,81463610604.9126
Top 15 Features (≥0.6),ml_prob_top,0.6,997,684,313,0.6860581745235708,184068274.3453815,184068374345.3815,25.556950194904974,390833962.93706906,-266013278.92515525,3.2107075112764223,55220524.336963855
Ensemble (≥0.6),ml_prob_ensemble,0.6,909,637,272,0.7007700770077008,86325962.82006136,86326062820.06136,22.1039446419736,192989647.14198568,-134589861.79920417,3.358088930818158,25897831.404451538
Top 15 Features (≥0.7),ml_prob_top,0.7,871,606,265,0.695752009184845,44045149.9087428,44045249908.742805,25.55695019490499,104636344.42323583,-73073489.85561548,3.2745336672928564,13213587.12379793
Top 15 Features (≥0.8),ml_prob_top,0.8,744,527,217,0.7083333333333334,10088662.621995153,10088762621.995153,23.272385472344006,26657007.210752003,-18246913.263000708,3.547912194799824,3026641.202411002
Original + Quality≥2,ml_probability,0.7,580,429,151,0.7396551724137931,3925376.667701185,3925476667.701185,20.28437463512255,11023536.354226828,-5322651.842795527,5.884007584812771,1177656.297162429
Ensemble Voting (≥2/3),ml_probability,0.6,417,327,90,0.7841726618705036,2274059.0771764,2274159077.1764,17.83800111842357,7775673.4910333995,-2984290.604350235,9.46677700988815,682262.27597369
Ensemble (≥0.7),ml_prob_ensemble,0.7,615,440,175,0.7154471544715447,1806009.947651516,1806109947.6515157,20.91771029641991,5836752.747909744,-4355207.208164407,3.3695903203816915,541845.4002540018
Original Model (≥0.6),ml_probability,0.6,601,428,173,0.7121464226289518,1179377.5264150887,1179477526.4150887,19.713411468446616,3717632.741151524,-2380169.2878483436,3.864170700021949,353855.55371360685
Original Model (≥0.7),ml_probability,0.7,588,421,167,0.7159863945578231,1073344.2479410372,1073444247.941037,19.71341146844662,3432702.5850102124,-2226488.265558455,3.8867033188262057,322045.6801077452
Original Model (≥0.8),ml_probability,0.8,581,418,163,0.7194492254733219,1051183.4619075048,1051283461.9075047,19.71341146844663,3386783.906438,-2236148.5336415865,3.8839668729021595,315397.5588994503
Original Model (≥0.9),ml_probability,0.9,579,417,162,0.7202072538860104,1043707.1928884413,1043807192.8884412,19.713411468446612,3370546.290429977,-2233398.828523821,3.8846782360841603,313154.70163017936
Original + Quality≥3,ml_probability,0.7,284,223,61,0.7852112676056338,76253.02645025316,76353026.45025316,15.316551437474393,453295.32565023564,-407079.1995040887,4.070777419876547,22919.918671134506
Ensemble (≥0.8),ml_prob_ensemble,0.8,2,0,2,0.0,-2.9775,97022.5,2.9775,0.0,-1488.75,0.0,7.802756055809006
